,Algorithm,board_index,K,generated_nodes,average_time,total_steps,sol_len
0,BFS,0,1,66,0.00039108399999998047,24,5
1,BFS,0,2,69,0.0002550589999999797,13,5
2,BFS,0,3,69,0.00016985300000003312,9,5
3,BFS,0,4,66,0.00015824700000000247,7,5
4,BFS,0,5,66,0.00012944100000003456,6,5
5,BFS,0,6,75,0.00015190300000000878,6,5
6,BFS,0,7,84,0.000156401000000026,6,5
7,BFS,0,8,69,0.0001174210000000242,5,5
8,BFS,0,9,75,0.00012186700000002437,5,5
9,BFS,0,10,81,0.00010938500000000629,5,5
10,BFS,0,11,84,0.00011514500000002314,5,5
11,BFS,0,12,87,0.00011180199999999196,5,5
12,BFS,0,13,90,0.00011434300000002118,5,5
13,BFS,0,14,93,0.00011099299999998813,5,5
14,BFS,0,15,93,0.00011119600000001783,5,5
15,BFS,0,16,93,0.0001143010000000011,5,5
16,BFS,0,17,93,0.00012104900000006413,5,5
17,BFS,0,18,93,0.00015630900000001446,5,5
18,BFS,0,19,93,0.000144070000000025,5,5
19,BFS,0,20,93,0.00011924500000003669,5,5
20,BFS,1,1,591,0.006412081999999826,219,9
21,BFS,1,2,591,0.0034530860000000986,110,9
22,BFS,1,3,594,0.0023605380000003696,74,9
23,BFS,1,4,594,0.0017177780000005604,56,9
24,BFS,1,5,591,0.0016116390000002134,45,9
25,BFS,1,6,591,0.0013320220000006878,38,9
26,BFS,1,7,591,0.0012638400000000427,33,9
27,BFS,1,8,609,0.0010738150000003089,30,9
28,BFS,1,9,609,0.0010777880000006235,27,9
29,BFS,1,10,591,0.0008508780000006055,24,9
30,BFS,1,11,618,0.0009968890000001452,23,9
31,BFS,1,12,603,0.0009049830000006765,21,9
32,BFS,1,13,615,0.0007481270000005935,20,9
33,BFS,1,14,621,0.0008804710000002913,19,9
34,BFS,1,15,618,0.0006672480000003488,18,9
35,BFS,1,16,609,0.000744779000000495,17,9
36,BFS,1,17,594,0.0005954300000002632,16,9
37,BFS,1,18,627,0.0007050670000005965,16,9
38,BFS,1,19,603,0.0006031019999995379,15,9
39,BFS,1,20,633,0.0007036769999995585,15,9
40,BFS,2,1,2956,0.06757282700000353,1068,12
41,BFS,2,2,2959,0.03752360200000662,535,12
42,BFS,2,3,2956,0.02634199100000842,357,12
43,BFS,2,4,2965,0.02107978200001007,269,12
44,BFS,2,5,2968,0.017865721999997534,216,12
