,Algorithm,board_index,K,generated_nodes,average_time,total_steps,sol_len
0,BFS,0,1,66,0.00044386899999996563,24,5
1,BFS,0,2,69,0.00025462900000004286,13,5
2,BFS,0,3,69,0.00018431400000002319,9,5
3,BFS,0,4,66,0.00019302100000000654,7,5
4,BFS,0,5,66,0.00014527400000001302,6,5
5,BFS,0,6,75,0.00014254400000000887,6,5
6,BFS,0,7,84,0.00013999699999996728,6,5
7,BFS,0,8,69,0.00011001400000002271,5,5
8,BFS,0,9,75,0.00011276600000000858,5,5
9,BFS,0,10,81,0.00013772700000001193,5,5
10,BFS,0,11,84,0.00011269099999998922,5,5
11,BFS,0,12,87,0.00012448400000002245,5,5
12,BFS,0,13,90,0.00010694300000002821,5,5
13,BFS,0,14,93,0.00011654900000002578,5,5
14,BFS,0,15,93,0.00012322300000005003,5,5
15,BFS,0,16,93,0.00011548000000007885,5,5
16,BFS,0,17,93,0.00011413300000002292,5,5
17,BFS,0,18,93,0.00015722100000000515,5,5
18,BFS,0,19,93,0.00012029900000002148,5,5
19,BFS,0,20,93,0.0001146080000000449,5,5
20,BFS,0,21,93,0.0001096890000000128,5,5
21,BFS,0,22,93,0.00011752299999999049,5,5
22,BFS,0,23,93,0.0001156330000000061,5,5
23,BFS,0,24,93,0.00011483999999994055,5,5
24,BFS,0,25,93,0.00011466399999997101,5,5
25,BFS,0,26,93,0.00011426700000003454,5,5
26,BFS,0,27,93,0.00010911599999993804,5,5
27,BFS,0,28,93,0.0001156519999999972,5,5
28,BFS,0,29,93,0.00011222799999997868,5,5
29,BFS,0,30,93,0.00011472300000008761,5,5
30,BFS,0,31,93,0.00011594000000006766,5,5
31,BFS,0,32,93,0.00011322400000000066,5,5
32,BFS,0,33,93,0.00010987900000010153,5,5
33,BFS,0,34,93,0.00011120999999998382,5,5
34,BFS,0,35,93,0.00010732700000001927,5,5
35,BFS,0,36,93,0.00011792499999995875,5,5
36,BFS,0,37,93,0.00011615700000016105,5,5
37,BFS,0,38,93,0.00012130600000003434,5,5
38,BFS,0,39,93,0.00011610300000008955,5,5
39,BFS,0,40,93,0.00011157899999994392,5,5
40,BFS,0,41,93,0.00012221400000018257,5,5
41,BFS,0,42,93,0.00012367000000002904,5,5
42,BFS,0,43,93,0.0001160090000001901,5,5
43,BFS,0,44,93,0.00011303200000004842,5,5
44,BFS,0,45,93,0.00012036899999992023,5,5
45,BFS,0,46,93,0.00037169000000011995,5,5
46,BFS,0,47,93,0.00010923700000001978,5,5
47,BFS,0,48,93,0.00013277600000014545,5,5
48,BFS,0,49,93,0.00014339400000004332,5,5
49,BFS,0,50,93,0.00011391000000003259,5,5
50,BFS,1,1,591,0.0056519579999994105,219,9
51,BFS,1,2,591,0.0031709640000004134,110,9
52,BFS,1,3,594,0.00229824200000043,74,9
53,BFS,1,4,594,0.0016771729999997475,56,9
54,BFS,1,5,591,0.0015509080000005858,45,9
55,BFS,1,6,591,0.001321537000000852,38,9
56,BFS,1,7,591,0.0012563370000005492,33,9
57,BFS,1,8,609,0.0010306640000009005,30,9
58,BFS,1,9,609,0.0010551970000010514,27,9
59,BFS,1,10,591,0.0008238770000003725,24,9
60,BFS,1,11,618,0.0009672269999996352,23,9
61,BFS,1,12,603,0.0008632480000004961,21,9
62,BFS,1,13,615,0.000727516000000179,20,9
63,BFS,1,14,621,0.0007941769999998271,19,9
64,BFS,1,15,618,0.00065233700000082,18,9
65,BFS,1,16,609,0.0007597430000008387,17,9
66,BFS,1,17,594,0.0006015320000000557,16,9
67,BFS,1,18,627,0.0007229060000010535,16,9
68,BFS,1,19,603,0.0005482730000007408,15,9
69,BFS,1,20,633,0.0006825630000010818,15,9
70,BFS,1,21,600,0.0006369499999999561,14,9
71,BFS,1,22,627,0.0005262619999999529,14,9
72,BFS,1,23,654,0.00064524600000059,14,9
73,BFS,1,24,609,0.000474546999999852,13,9
74,BFS,1,25,633,0.000604127999999875,13,9
75,BFS,1,26,657,0.000510240999999958,13,9
76,BFS,1,27,600,0.0005421870000008155,12,9
77,BFS,1,28,621,0.0005009240000001114,12,9
78,BFS,1,29,639,0.0006029939999996969,12,9
79,BFS,1,30,657,0.00046455500000032403,12,9
80,BFS,1,31,675,0.0005925120000000916,12,9
81,BFS,1,32,597,0.000512541999999172,11,9
82,BFS,1,33,612,0.0003898739999996792,11,9
83,BFS,1,34,627,0.0005188750000015574,11,9
84,BFS,1,35,642,0.0004260240000022009,11,9
85,BFS,1,36,657,0.000561907000001085,11,9
86,BFS,1,37,672,0.00041003900000113446,11,9
87,BFS,1,38,687,0.000561826000000707,11,9
88,BFS,1,39,702,0.0004238960000002834,11,9
